title,artist,year,error
viva la vida,coldplay,2008,download_failed
sober,p!nk,2009,download_failed
tonight,enrique iglesias featuring ludacris & dj frank e,2011,download_failed
let it go,idina menzel,2014,download_failed
i dont fk with you,big sean featuring e-40,2015,download_failed
baby shark,pinkfong,2019,download_failed
we dont talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",2022,download_failed
surface pressure,jessica darrow,2022,download_failed
bzrp music sessions vol 53,bizarrap & shakira,2023,download_failed
why,annie lennox,1992,download_failed
dre day,dr. dre,1993,download_failed
colors of the wind,vanessa williams,1995,download_failed
